      {16}	       {3}	25.2	59.4
       {3}	      {16}	25.2	84.0
      {16}	       {7}	9.8	23.1
       {7}	      {16}	9.8	40.8
      {16}	       {8}	30.2	71.2
       {8}	      {16}	30.2	66.8
       {3}	       {7}	7.4	24.7
       {7}	       {3}	7.4	30.8
       {8}	       {3}	25.8	57.1
       {3}	       {8}	25.8	86.0
       {8}	       {7}	11.6	25.7
       {7}	       {8}	11.6	48.3
      {16}	     {3,7}	6.4	15.1
       {3}	    {16,7}	6.4	21.3
       {7}	    {16,3}	6.4	26.7
    {16,3}	       {7}	6.4	25.4
    {16,7}	       {3}	6.4	65.3
     {3,7}	      {16}	6.4	86.5
      {16}	     {8,3}	24.0	56.6
       {8}	    {16,3}	24.0	53.1
       {3}	    {16,8}	24.0	80.0
    {16,8}	       {3}	24.0	79.5
    {16,3}	       {8}	24.0	95.2
     {8,3}	      {16}	24.0	93.0
      {16}	     {8,7}	7.4	17.5
       {8}	    {16,7}	7.4	16.4
       {7}	    {16,8}	7.4	30.8
    {16,8}	       {7}	7.4	24.5
    {16,7}	       {8}	7.4	75.5
     {8,7}	      {16}	7.4	63.8
       {8}	     {3,7}	6.6	14.6
       {3}	     {8,7}	6.6	22.0
       {7}	     {8,3}	6.6	27.5
     {8,3}	       {7}	6.6	25.6
     {8,7}	       {3}	6.6	56.9
     {3,7}	       {8}	6.6	89.2
      {16}	   {8,3,7}	6.2	14.6
       {8}	  {16,3,7}	6.2	13.7
       {3}	  {16,8,7}	6.2	20.7
       {7}	  {16,8,3}	6.2	25.8
    {16,8}	     {3,7}	6.2	20.5
    {16,3}	     {8,7}	6.2	24.6
    {16,7}	     {8,3}	6.2	63.3
     {8,3}	    {16,7}	6.2	24.0
     {8,7}	    {16,3}	6.2	53.4
     {3,7}	    {16,8}	6.2	83.8
  {16,8,3}	       {7}	6.2	25.8
  {16,8,7}	       {3}	6.2	83.8
  {16,3,7}	       {8}	6.2	96.9
   {8,3,7}	      {16}	6.2	93.9
      {16}	       {3}	25.2	59.4
       {3}	      {16}	25.2	84.0
      {16}	       {8}	30.2	71.2
       {8}	      {16}	30.2	66.8
      {16}	      {14}	11.0	25.9
      {14}	      {16}	11.0	43.0
       {8}	       {3}	25.8	57.1
       {3}	       {8}	25.8	86.0
       {3}	      {14}	6.8	22.7
      {14}	       {3}	6.8	26.6
       {8}	      {14}	11.2	24.8
      {14}	       {8}	11.2	43.8
      {16}	     {8,3}	24.0	56.6
       {8}	    {16,3}	24.0	53.1
       {3}	    {16,8}	24.0	80.0
    {16,8}	       {3}	24.0	79.5
    {16,3}	       {8}	24.0	95.2
     {8,3}	      {16}	24.0	93.0
      {16}	    {3,14}	5.4	12.7
       {3}	   {16,14}	5.4	18.0
