buying	maint	doors	persons	lug_boot	safety	car_evaluation
vhigh	4	med	med	2	med	acc
high	4	small	low	4	low	unacc
vhigh	4	med	med	4	high	acc
vhigh	more	big	low	4	high	unacc
high	more	med	low	3	low	unacc
high	more	small	high	2	med	acc
low	2	med	high	3	vhigh	unacc
high	4	small	low	2	med	unacc
low	4	small	med	5more	med	good
low	2	big	med	5more	med	unacc
low	more	big	high	4	med	vgood
low	2	big	high	4	low	unacc
low	more	med	low	3	low	unacc
med	2	big	high	2	high	unacc
low	more	small	low	4	high	unacc
vhigh	4	med	med	3	med	acc
low	more	small	high	3	low	unacc
med	more	med	med	2	vhigh	acc
low	more	big	high	4	vhigh	acc
low	2	small	high	2	vhigh	unacc
high	2	big	med	5more	high	unacc
med	2	med	low	5more	high	unacc
med	2	big	high	3	med	unacc
vhigh	2	small	low	5more	low	unacc
vhigh	more	small	high	3	vhigh	unacc
high	more	big	med	2	low	acc
vhigh	more	small	high	5more	vhigh	unacc
low	4	small	med	5more	high	unacc
med	2	big	low	4	low	unacc
vhigh	2	small	med	3	med	unacc
high	more	small	med	4	med	unacc
low	4	big	low	4	vhigh	unacc
low	4	big	med	5more	high	acc
vhigh	more	small	med	3	low	unacc
low	2	small	low	5more	vhigh	unacc
vhigh	2	med	med	2	low	unacc
med	4	big	low	4	med	unacc
high	more	big	high	4	med	acc
high	4	big	high	5more	high	acc
vhigh	more	med	low	4	med	unacc
med	4	small	high	3	low	good
med	2	med	low	3	vhigh	unacc
high	more	big	med	5more	med	acc
med	4	small	high	2	med	acc
high	2	med	med	3	high	unacc
med	4	med	high	4	high	acc
high	2	small	high	5more	vhigh	unacc
vhigh	4	med	high	3	vhigh	unacc
low	more	med	high	2	low	acc
high	2	med	high	4	vhigh	unacc
vhigh	4	small	low	3	high	unacc
med	4	med	med	4	vhigh	vgood
vhigh	4	med	low	2	vhigh	unacc
med	4	med	low	5more	med	unacc
med	more	big	low	5more	high	unacc
vhigh	2	small	low	3	low	unacc
med	2	big	med	3	low	unacc
med	2	small	high	3	vhigh	unacc
high	more	med	med	3	vhigh	unacc
low	2	big	high	3	vhigh	unacc
high	2	small	high	2	high	unacc
vhigh	4	small	high	4	low	acc
low	2	small	low	5more	med	unacc
high	2	big	low	2	med	unacc
high	4	big	low	2	med	unacc
vhigh	more	small	med	2	high	unacc
med	2	med	med	3	med	unacc
low	more	med	high	2	med	vgood
med	more	med	med	4	high	vgood
med	4	small	low	4	low	unacc
med	2	med	low	3	med	unacc
med	2	med	med	3	high	unacc
vhigh	more	med	med	5more	high	acc
vhigh	2	small	med	2	high	unacc
vhigh	more	small	low	4	vhigh	unacc
low	more	big	high	4	low	vgood
low	2	big	high	5more	low	unacc
med	4	big	low	2	vhigh	unacc
med	2	small	high	2	vhigh	unacc
high	more	small	high	5more	vhigh	unacc
low	2	med	low	5more	vhigh	unacc
low	2	med	med	2	low	unacc
low	4	med	med	3	high	unacc
low	4	big	high	4	low	vgood
vhigh	more	med	low	2	high	unacc
high	more	big	high	4	high	acc
vhigh	2	small	high	2	med	unacc
high	2	med	low	2	high	unacc
med	more	small	low	4	med	unacc
med	more	med	med	4	med	acc
low	4	big	high	4	high	acc
low	4	small	low	5more	high	unacc
low	2	small	high	3	low	unacc
low	4	big	high	2	med	vgood
high	4	small	high	2	low	acc
med	2	big	high	2	med	unacc
high	more	big	high	5more	vhigh	unacc
med	more	big	low	4	vhigh	unacc
vhigh	more	small	med	4	low	unacc
low	2	big	low	4	high	unacc
vhigh	4	small	high	5more	med	acc
high	more	small	med	4	high	unacc
med	2	med	high	4	high	unacc
vhigh	more	med	low	2	med	unacc
low	2	small	med	3	vhigh	unacc
med	4	small	med	5more	low	acc
vhigh	2	med	high	4	med	unacc
vhigh	2	small	low	3	med	unacc
med	2	big	high	4	vhigh	unacc
vhigh	2	small	low	3	high	unacc
high	2	small	med	5more	med	unacc
vhigh	2	big	med	5more	low	unacc
med	2	big	low	3	med	unacc
vhigh	4	big	med	3	high	unacc
vhigh	more	small	low	5more	vhigh	unacc
vhigh	4	med	high	4	high	unacc
high	more	small	low	3	med	unacc
vhigh	4	small	low	3	vhigh	unacc
vhigh	more	small	low	2	low	unacc
vhigh	more	small	high	3	med	acc
low	more	big	high	5more	med	vgood
high	more	big	med	4	high	acc
low	more	big	med	2	low	good
high	4	small	high	4	low	acc
low	4	small	high	3	vhigh	acc
vhigh	2	small	med	2	vhigh	unacc
high	more	small	high	3	vhigh	unacc
med	more	small	high	2	low	good
vhigh	2	med	med	4	low	unacc
low	2	big	med	3	vhigh	unacc
low	more	small	med	5more	vhigh	unacc
med	2	big	high	2	vhigh	unacc
high	more	med	low	2	vhigh	unacc
vhigh	2	med	high	4	low	unacc
med	2	small	low	5more	low	unacc
vhigh	4	small	high	5more	high	unacc
med	more	big	high	5more	med	vgood
low	4	med	high	2	vhigh	acc
med	2	med	low	2	vhigh	unacc
low	4	small	low	5more	low	unacc
vhigh	4	big	high	3	vhigh	unacc
med	4	med	med	3	high	unacc
low	2	med	high	5more	low	unacc
vhigh	more	med	low	3	vhigh	unacc
med	2	small	low	5more	med	unacc
low	2	small	low	2	low	unacc
vhigh	4	big	low	2	med	unacc
vhigh	4	big	high	3	high	unacc
low	4	big	med	3	med	acc
vhigh	4	med	low	2	low	unacc
high	2	big	low	5more	low	unacc
med	2	med	high	2	high	unacc
vhigh	more	small	high	5more	high	unacc
vhigh	4	big	low	2	vhigh	unacc
med	4	small	low	3	high	unacc
high	2	small	med	4	vhigh	unacc
med	2	big	low	5more	med	unacc
low	more	small	med	4	vhigh	unacc
low	more	small	med	4	med	acc
high	more	small	high	3	high	acc
low	more	big	low	4	med	unacc
high	2	med	med	3	med	unacc
vhigh	more	med	high	4	vhigh	unacc
high	4	med	med	5more	low	acc
vhigh	4	med	low	5more	high	unacc
med	more	small	high	4	high	acc
med	more	med	low	3	med	unacc
